from,to,cost
0,0,0.0
0,1,2.2692
0,2,4.2511
0,3,8.136
0,4,11.6337
0,5,8.3424
0,6,6.5142
0,7,4.6094
0,8,13.0922
0,9,10.995
0,10,9.7557
0,11,7.3138
0,12,14.8898
0,13,12.9989
0,14,11.5106
0,15,9.7954
0,16,8.3701
0,17,17.7646
0,18,16.4422
0,19,14.2727
0,20,12.6031
0,21,10.4514
0,22,19.2951
0,23,18.4737
0,24,16.3919
0,25,15.3013
0,26,12.5204
0,27,21.4434
0,28,19.9339
0,29,17.4237
0,30,15.3619
0,31,6.2981
0,32,11.4989
0,33,13.2134
0,34,15.2561
0,35,7.042
0,36,6.1837
0,37,3.9453
0,38,2.1537
0,39,8.5391
0,40,10.8032
0,41,13.8297
0,42,17.3423
0,43,16.1295
0,44,15.1666
0,45,16.6415
0,46,19.4082
0,47,13.541
0,48,7.7506
0,49,6.152
0,50,6.2953
0,51,5.017
0,52,2.7594
0,53,2.0727
0,54,0.9401
0,55,3.4038
0,56,5.6291
0,57,7.2442
0,58,9.1719
0,59,10.6695
0,60,11.6366
0,61,9.3425
0,62,5.4266
0,63,7.6216
0,64,9.5013
0,65,7.2942
0,66,11.6471
0,67,10.2088
0,68,9.6125
0,69,12.7887
0,70,11.6789
0,71,14.2582
0,72,16.5755
0,73,15.5628
0,74,11.3347
0,75,13.3451
0,76,14.1479
0,77,15.5403
0,78,16.5759
0,79,18.2865
0,80,15.5788
0,81,20.1299
0,82,17.9244
0,83,19.7472
0,84,17.5306
0,85,3.0477
0,86,5.1857
0,87,3.2339
0,88,4.391
0,89,5.7499
0,90,10.0486
0,91,10.3378
0,92,10.0114
0,93,11.0968
0,94,15.9557
0,95,13.9847
0,96,7.0129
0,97,9.441
0,98,5.6929
0,99,13.1362
1,0,2.3734
1,1,0.0
1,2,1.9819
1,3,5.8667
1,4,8.8892
1,5,6.1854
1,6,4.3989
1,7,6.932
1,8,11.3322
1,9,9.2351
1,10,7.6925
1,11,7.5235
1,12,14.1069
1,13,11.2389
1,14,9.4425
1,15,9.1752
1,16,10.6325
1,17,16.0226
1,18,14.7001
1,19,12.5127
1,20,10.5581
1,21,12.7138
1,22,17.5531
1,23,16.1799
1,24,14.6319
1,25,13.2466
1,26,14.8431
1,27,19.7014
1,28,17.9867
1,29,14.9365
1,30,17.6846
1,31,8.5605
1,32,9.4357
1,33,11.4534
1,34,13.514
1,35,4.9609
1,36,4.0438
1,37,1.8299
1,38,4.4764
1,39,5.986
1,40,9.0432
1,41,12.1344
1,42,15.6002
1,43,14.3696
1,44,14.1178
1,45,14.5867
1,46,17.1144
1,47,15.8637
1,48,9.1613
1,49,6.9169
1,50,4.0261
1,51,2.7478
1,52,0.644
1,53,2.0574
1,54,3.2627
1,55,3.1795
1,56,3.5137
1,57,5.0872
1,58,7.032
1,59,8.4003
1,60,9.5914
1,61,7.1855
1,62,7.7015
1,63,5.5405
1,64,7.4381
1,65,9.5566
1,66,9.8872
1,67,10.3607
1,68,11.8749
1,69,10.7206
1,70,11.5327
1,71,12.4983
1,72,14.8155
1,73,13.597
1,74,13.5971
1,75,11.4037
1,76,14.1521
1,77,13.4855
1,78,14.5211
1,79,15.7257
1,80,17.9015
1,81,18.0344
1,82,16.2849
1,83,17.4534
1,84,15.7706
1,85,5.3704
1,86,3.0704
1,87,4.0161
1,88,1.7131
1,89,5.7911
1,90,7.8916
1,91,8.2746
1,92,7.9482
1,93,10.4789
1,94,13.9009
1,95,12.2247
1,96,4.7437
1,97,6.9469
1,98,3.5775
1,99,11.0731
2,0,4.3318
2,1,2.1122
2,2,0.0
2,3,4.0409
2,4,7.9458
2,5,4.4715
2,6,6.2218
2,7,8.8904
2,8,9.5064
2,9,7.4093
2,10,7.1941
2,11,9.6358
2,12,11.322
2,13,9.4131
2,14,9.5062
2,15,11.2294
2,16,12.6511
2,17,14.1968
2,18,12.8744
2,19,10.6869
2,20,12.5004
2,21,14.7324
2,22,16.0352
2,23,14.3542
2,24,12.8061
2,25,15.2526
2,26,16.8014
2,27,17.8756
2,28,16.161
2,29,16.4708
2,30,19.6429
2,31,10.5792
2,32,11.378
2,33,9.6276
2,34,11.6883
2,35,6.9032
2,36,2.218
2,37,3.7883
2,38,6.4348
2,39,4.1602
2,40,7.2175
2,41,12.6427
2,42,13.7745
2,43,12.5438
2,44,16.1238
2,45,14.4819
2,46,15.2886
2,47,17.822
2,48,11.1036
2,49,8.8591
2,50,2.2003
2,51,0.922
2,52,2.6024
2,53,4.0158
2,54,5.2211
2,55,4.96
2,56,4.2564
2,57,3.4104
2,58,5.2062
2,59,6.5745
2,60,7.7657
2,61,5.4716
2,62,9.6438
2,63,7.4827
2,64,9.3804
2,65,11.5752
2,66,8.0614
2,67,12.303
2,68,13.8935
2,69,11.0324
2,70,13.5066
2,71,10.6725
2,72,12.9897
2,73,11.977
2,74,15.6157
2,75,13.346
2,76,16.1581
2,77,15.4915
2,78,15.3059
2,79,15.5137
2,80,19.2638
2,81,16.2086
2,82,14.4591
2,83,15.6276
2,84,13.9449
2,85,7.3287
2,86,4.8508
2,87,5.7965
2,88,1.4313
2,89,7.7334
2,90,6.1777
2,91,9.8455
2,92,8.1884
2,93,12.4212
2,94,14.6416
2,95,10.3989
2,96,2.9179
2,97,5.1211
2,98,4.6531
2,99,9.5505
3,0,7.8403
3,1,5.6208
3,2,3.6156
3,3,0.0
3,4,4.8014
3,5,7.8543
3,6,9.6046
3,7,12.3002
3,8,8.6854
3,9,9.3366
3,10,10.5759
3,11,12.9904
3,12,9.2987
