from,to,cost
0,0,0.0
0,1,2.2692
0,2,4.2511
0,3,8.136
0,4,11.6337
0,5,8.3424
0,6,6.5142
0,7,4.6094
0,8,13.0922
0,9,10.995
0,10,9.7557
0,11,7.3138
0,12,14.8898
0,13,12.9989
0,14,11.5106
0,15,9.7954
0,16,8.3701
0,17,17.7646
0,18,16.4422
0,19,14.2727
0,20,12.6031
0,21,10.4514
0,22,19.2951
0,23,18.4737
0,24,16.3919
0,25,15.3013
0,26,12.5204
0,27,21.4434
0,28,19.9339
0,29,17.4237
0,30,15.3619
0,31,6.2981
0,32,11.4989
0,33,13.2134
0,34,15.2561
0,35,7.042
0,36,6.1837
0,37,3.9453
0,38,2.1537
0,39,8.5391
0,40,10.8032
0,41,13.8297
0,42,17.3423
0,43,16.1295
0,44,15.1666
0,45,16.6415
0,46,19.4082
0,47,13.541
0,48,7.7506
0,49,6.152
1,0,2.3734
1,1,0.0
1,2,1.9819
1,3,5.8667
1,4,8.8892
1,5,6.1854
1,6,4.3989
1,7,6.932
1,8,11.3322
1,9,9.2351
1,10,7.6925
1,11,7.5235
1,12,14.1069
1,13,11.2389
1,14,9.4425
1,15,9.1752
1,16,10.6325
1,17,16.0226
1,18,14.7001
1,19,12.5127
1,20,10.5581
1,21,12.7138
1,22,17.5531
1,23,16.1799
1,24,14.6319
1,25,13.2466
1,26,14.8431
1,27,19.7014
1,28,17.9867
1,29,14.9365
1,30,17.6846
1,31,8.5605
1,32,9.4357
1,33,11.4534
1,34,13.514
1,35,4.9609
1,36,4.0438
1,37,1.8299
1,38,4.4764
1,39,5.986
1,40,9.0432
1,41,12.1344
1,42,15.6002
1,43,14.3696
1,44,14.1178
1,45,14.5867
1,46,17.1144
1,47,15.8637
1,48,9.1613
1,49,6.9169
2,0,4.3318
2,1,2.1122
2,2,0.0
2,3,4.0409
2,4,7.9458
2,5,4.4715
2,6,6.2218
2,7,8.8904
2,8,9.5064
2,9,7.4093
2,10,7.1941
2,11,9.6358
2,12,11.322
2,13,9.4131
2,14,9.5062
2,15,11.2294
2,16,12.6511
2,17,14.1968
2,18,12.8744
2,19,10.6869
2,20,12.5004
2,21,14.7324
2,22,16.0352
2,23,14.3542
2,24,12.8061
2,25,15.2526
2,26,16.8014
2,27,17.8756
2,28,16.161
2,29,16.4708
2,30,19.6429
2,31,10.5792
2,32,11.378
2,33,9.6276
2,34,11.6883
2,35,6.9032
2,36,2.218
2,37,3.7883
2,38,6.4348
2,39,4.1602
2,40,7.2175
2,41,12.6427
2,42,13.7745
2,43,12.5438
2,44,16.1238
2,45,14.4819
2,46,15.2886
2,47,17.822
2,48,11.1036
2,49,8.8591
3,0,7.8403
3,1,5.6208
3,2,3.6156
3,3,0.0
3,4,4.8014
3,5,7.8543
3,6,9.6046
3,7,12.3002
3,8,8.6854
3,9,9.3366
3,10,10.5759
3,11,12.9904
3,12,9.2987
3,13,11.0912
3,14,12.6926
3,15,14.4159
3,16,15.8547
3,17,11.5949
3,18,11.9555
3,19,13.8734
3,20,15.7867
3,21,17.9193
3,22,13.0527
3,23,13.9342
3,24,16.0558
3,25,18.5023
3,26,19.9884
3,27,15.2011
3,28,17.9085
3,29,19.7374
3,30,22.8151
3,31,14.0546
3,32,14.6764
3,33,12.8141
3,34,10.7165
3,35,10.286
3,36,5.4949
3,37,7.2968
3,38,9.7671
3,39,3.8049
3,40,10.5994
3,41,15.9093
3,42,12.8556
3,43,14.3322
3,44,19.3735
3,45,17.7316
3,46,14.8687
3,47,21.009
3,48,14.6554
3,49,12.2419
4,0,11.9144
4,1,9.6469
4,2,7.9433
4,3,4.8438
4,4,0.0
4,5,3.6886
4,6,5.4389
4,7,8.1345
4,8,4.2358
4,9,5.1709
4,10,6.4102
4,11,8.852
4,12,5.3821
4,13,7.1746
4,14,8.7224
4,15,10.4993
4,16,11.9382
4,17,7.6784
4,18,7.9861
4,19,9.9568
4,20,11.8701
4,21,14.0028
4,22,9.1362
4,23,10.0176
4,24,12.1392
4,25,14.5857
4,26,16.0718
4,27,11.2845
4,28,13.9919
4,29,15.8999
4,30,18.201
4,31,9.7199
4,32,10.5951
4,33,8.8438
4,34,6.8
4,35,6.1203
4,36,5.1617
4,37,7.9208
4,38,9.8391
4,39,3.2195
4,40,6.4337
4,41,11.9927
4,42,8.939
4,43,10.4157
4,44,15.4569
4,45,13.815
4,46,10.9952
4,47,17.0924
4,48,10.4897
4,49,8.0762
5,0,8.373
5,1,6.1055
5,2,4.4019
5,3,8.1351
5,4,3.2913
5,5,0.0
5,6,1.8975
5,7,4.5931
5,8,4.9573
5,9,3.085
5,10,2.8698
5,11,5.1415
5,12,6.8793
5,13,5.0888
5,14,5.1819
5,15,6.7932
5,16,8.2505
5,17,9.6991
5,18,8.3073
5,19,6.3626
5,20,8.1761
5,21,10.3285
5,22,11.1602
5,23,10.3389
5,24,8.4819
5,25,10.9283
5,26,12.3975
5,27,13.2109
5,28,11.8367
5,29,12.1465
5,30,14.5436
5,31,6.1785
5,32,7.0537
5,33,5.3033
5,34,7.1212
5,35,2.5789
5,36,2.2875
5,37,4.4028
5,38,6.2977
5,39,4.0028
5,40,2.8932
5,41,8.3184
5,42,9.2074
5,43,8.2195
5,44,11.7995
5,45,10.1576
5,46,11.2733
5,47,13.4181
5,48,6.7793
5,49,4.5348
6,0,6.4755
6,1,4.208
6,2,6.1899
6,3,10.041
6,4,5.1972
6,5,1.9059
6,6,0.0
6,7,2.6956
6,8,6.7495
6,9,4.6524
6,10,3.413
6,11,3.244
6,12,8.5471
6,13,6.6562
